"","attribute","question","details","id","variable_type","Variable","Title","SELECTION","area"
"61","Q22","Neighbors","Homosexuals",61,"Core Variables - Social Values, Norms, Stereotypes","A124_09","Neighbours: Homosexuals",0,"not selected"
"62","Q23","Neighbors","People of a different religion",62,"Core Variables - Social Values, Norms, Stereotypes","A124_12","Neighbours: People of a different religion",0,"not selected"
"63","Q24","Neighbors","Heavy drinkers",63,"Core Variables - Social Values, Norms, Stereotypes","A124_03","Neighbours: Heavy drinkers",0,"not selected"
"64","Q25","Neighbors","Unmarried couples living together",64,"Core Variables - Social Values, Norms, Stereotypes","A124_42","Neighbours: Unmarried couples living together",0,"not selected"
"65","Q26","Neighbors","People who speak a different language",65,"Core Variables - Social Values, Norms, Stereotypes","A124_43","Neighbours: People who speak a different language",0,"not selected"
"66","Q27","One of main goals in life has been to make my parents proud",NA,66,"Core Variables - Social Values, Norms, Stereotypes","D054","One of main goals in life has been to make my parents proud",0,"not selected"
"67","Q28","Pre-school child suffers with working mother",NA,67,"Core Variables - Social Values, Norms, Stereotypes","D061","Pre-school child suffers with working mother",0,"not selected"
"68","Q29","Men make better political leaders than women do",NA,68,"Core Variables - Social Values, Norms, Stereotypes","D059","Men make better political leaders than women do",0,"not selected"
"69","Q30","University is more important for a boy than for a girl",NA,69,"Core Variables - Social Values, Norms, Stereotypes","D060","University is more important for a boy than for a girl",0,"not selected"
"70","Q31","Men make better business executives than women do",NA,70,"Core Variables - Social Values, Norms, Stereotypes","D078","Men make better business executives than women do",0,"not selected"
"71","Q32","Being a housewife just as fulfilling",NA,71,"Core Variables - Social Values, Norms, Stereotypes","D057","Being a housewife just as fulfilling",0,"not selected"
"72","Q33","Jobs scarce","Men should have more right to a job than women",72,"Core Variables - Social Values, Norms, Stereotypes","C001_01","Jobs scarce: Men should have more right to a job than women (5 categories)",0,"not selected"
"73","Q33_3","Jobs scarce","Men should have more right to a job than women (3-point scale)",73,"Core Variables - Social Values, Norms, Stereotypes","C001","Jobs scarce: Men should have more right to a job than women (3 categories)",0,"not selected"
"74","Q34","Jobs scarce","Employers should give priority to (nation) people than immigrants",74,"Core Variables - Social Values, Norms, Stereotypes","C002_01","Jobs scarce: Employers should give priority to (nation) people than immigrants (5 categories)",0,"not selected"
"75","Q34_3","Jobs scarce","Employers should give priority to (nation) people than immigrants (",75,"Core Variables - Social Values, Norms, Stereotypes","C002","Jobs scarce: Employers should give priority to (nation) people than immigrants (3 categories)",0,"not selected"
"76","Q35","Problem if women have more income than husband",NA,76,"Core Variables - Social Values, Norms, Stereotypes","D066_01","Problem if women have more income than husband (5 categories)",0,"not selected"
"77","Q35_3","Problem if women have more income than husband (3-point scale)",NA,77,"Core Variables - Social Values, Norms, Stereotypes","D066_B","Problem if women have more income than husband (3 categories)",0,"not selected"
"78","Q36","Homosexual couples are as good parents as other couples",NA,78,"Core Variables - Social Values, Norms, Stereotypes","D081","Homosexual couples are as good parents as other couples",0,"not selected"
"79","Q37","Duty towards society to have children",NA,79,"Core Variables - Social Values, Norms, Stereotypes","D026_03","Duty towards society to have children",0,"not selected"
"80","Q38","It is children duty to take care of ill parent",NA,80,"Core Variables - Social Values, Norms, Stereotypes","D026_05","It is childs duty to take care of ill parent",0,"not selected"
"81","Q39","People who don't work turn lazy",NA,81,"Core Variables - Social Values, Norms, Stereotypes","C038","People who don´t work turn lazy",1,"Social"
"82","Q40","Work is a duty towards society",NA,82,"Core Variables - Social Values, Norms, Stereotypes","C039","Work is a duty towards society",1,"Social"
"83","Q41","Work should  always come first even if it means less spare time",NA,83,"Core Variables - Social Values, Norms, Stereotypes","C041","Work should come first even if it means less spare time",1,"Social"
"84","Q42","Basic kinds of attitudes concerning society",NA,84,"Core Variables - Social Values, Norms, Stereotypes","E034","Basic kinds of attitudes concerning society",1,"Social"
"85","Q43","Future changes","Less importance placed on work",85,"Core Variables - Social Values, Norms, Stereotypes","E015","Future changes: Less importance placed on work",1,"Social"
"86","Q44","Future changes","More emphasis on technology",86,"Core Variables - Social Values, Norms, Stereotypes","E016","Future changes: More emphasis on technology",1,"Technological"
"87","Q45","Future changes","Greater respect for authority",87,"Core Variables - Social Values, Norms, Stereotypes","E018","Future changes: Greater respect for authority",1,"Ethics"
"88","Q46","Feeling of happiness",NA,88,"Core Variables - Happiness and Wellbeing","A008","Feeling of happiness",0,"not selected"
"89","Q47","State of health (subjective)",NA,89,"Core Variables - Happiness and Wellbeing","A009","State of health (subjective)",0,"not selected"
"90","Q48","How much freedom of choice and control",NA,90,"Core Variables - Happiness and Wellbeing","A173","How much freedom of choice and control",0,"not selected"
"91","Q49","Satisfaction with your life",NA,91,"Core Variables - Happiness and Wellbeing","A170","Satisfaction with your life",1,"Social"
"92","Q50","Satisfaction with financial situation of household",NA,92,"Core Variables - Happiness and Wellbeing","C006","Satisfaction with financial situation of household",1,"Economic"
"93","Q51","Frequency you/family (last 12 month)","Gone without enough food to eat",93,"Core Variables - Happiness and Wellbeing","H008_01","Frequency you/family (last 12 month): Gone without enough food to eat",0,"not selected"
"94","Q52","Frequency you/family (last 12 month)","Felt unsafe from crime in your own home",94,"Core Variables - Happiness and Wellbeing","H008_02","Frequency you/family (last 12 month): Felt unsafe from crime in your own home",0,"not selected"
"95","Q53","Frequency you/family (last 12 month)","Gone without needed medicine or treatment",95,"Core Variables - Happiness and Wellbeing","H008_03","Frequency you/family (last 12 month): Gone without needed medicine or treatment that you needed",0,"not selected"
"96","Q54","Frequency you/family (last 12 month)","Gone without a cash income",96,"Core Variables - Happiness and Wellbeing","H008_04","Frequency you/family (last 12 month): Gone without a cash income",0,"not selected"
"97","Q55","In the last 12 month, how often have you or your family","Gone without a safe she",97,"Core Variables - Happiness and Wellbeing","H008_09","In the last 12 month, how often have you or your family: Gone without a safe shelter over your head",0,"not selected"
"98","Q56","Standard of living comparing with your parents",NA,98,"Core Variables - Happiness and Wellbeing","E277","Standard of living comparing with your parents",0,"not selected"
"99","Q57","Most people can be trusted",NA,99,"Core Variables - Social Capital, Trust and Organizational Membership","A165","Most people can be trusted",1,"Ethics"
"100","Q58","Trust","Your family",100,"Core Variables - Social Capital, Trust and Organizational Membership","D001_B","How much you trust: Your family (B)",1,"Ethics"
"101","Q59","Trust","Your neighborhood",101,"Core Variables - Social Capital, Trust and Organizational Membership","G007_18_B","Trust: Your neighborhood (B)",1,"Ethics"
"102","Q60","Trust","People you know personally",102,"Core Variables - Social Capital, Trust and Organizational Membership","G007_33_B","Trust: People you know personally (B)",1,"Ethics"
"103","Q61","Trust","People you meet for the first time",103,"Core Variables - Social Capital, Trust and Organizational Membership","G007_34_B","Trust: People you meet for the first time (B)",1,"Ethics"
"104","Q62","Trust","People of another religion",104,"Core Variables - Social Capital, Trust and Organizational Membership","G007_35_B","Trust: People of another religion (B)",1,"Ethics"
"105","Q63","Trust","People of another nationality",105,"Core Variables - Social Capital, Trust and Organizational Membership","G007_36_B","Trust: People of another nationality (B)",1,"Ethics"
"106","Q64","Confidence","Churches",106,"Core Variables - Social Capital, Trust and Organizational Membership","E069_01","Confidence: Churches",1,"Ethics"
"107","Q65","Confidence","Armed Forces",107,"Core Variables - Social Capital, Trust and Organizational Membership","E069_02","Confidence: Armed Forces",1,"Ethics"
"108","Q66","Confidence","The Press",108,"Core Variables - Social Capital, Trust and Organizational Membership","E069_04","Confidence: The Press",1,"Ethics"
"109","Q67","Confidence","Television",109,"Core Variables - Social Capital, Trust and Organizational Membership","E069_10","Confidence: Television",1,"Ethics"
"110","Q68","Confidence","Labor Unions",110,"Core Variables - Social Capital, Trust and Organizational Membership","E069_05","Confidence: Labour Unions",1,"Ethics"
"111","Q69","Confidence","The Police",111,"Core Variables - Social Capital, Trust and Organizational Membership","E069_06","Confidence: The Police",1,"Ethics"
"112","Q70","Confidence","Justice System/Courts",112,"Core Variables - Social Capital, Trust and Organizational Membership","E069_17","Confidence: Justice System/Courts",1,"Ethics"
"113","Q71","Confidence","The Government",113,"Core Variables - Social Capital, Trust and Organizational Membership","E069_11","Confidence: The Government",1,"Ethics"
"114","Q72","Confidence","The Political Parties",114,"Core Variables - Social Capital, Trust and Organizational Membership","E069_12","Confidence: The Political Parties",1,"Ethics"
"115","Q73","Confidence","Parliament",115,"Core Variables - Social Capital, Trust and Organizational Membership","E069_07","Confidence: Parliament",1,"Ethics"
"116","Q74","Confidence","The Civil Services",116,"Core Variables - Social Capital, Trust and Organizational Membership","E069_08","Confidence: The Civil Services",1,"Ethics"
"117","Q75","Confidence","Universities",117,"Core Variables - Social Capital, Trust and Organizational Membership","E069_54","Confidence: Universities",1,"Ethics"
"118","Q76","Confidence","Elections",118,"Core Variables - Social Capital, Trust and Organizational Membership","E069_64","Confidence: Elections",1,"Ethics"
"119","Q77","Confidence","Major Companies",119,"Core Variables - Social Capital, Trust and Organizational Membership","E069_13","Confidence: Major Companies",1,"Ethics"
"120","Q78","Confidence","Banks",120,"Core Variables - Social Capital, Trust and Organizational Membership","E069_41","Confidence: Banks",1,"Ethics"
"121","Q79","Confidence","The Environmental Protection Movement",121,"Core Variables - Social Capital, Trust and Organizational Membership","E069_14","Confidence: The Environmental Protection Movement",1,"Ethics"
"122","Q80","Confidence","The Women's Movement",122,"Core Variables - Social Capital, Trust and Organizational Membership","E069_15","Confidence: The Women´s Movement",1,"Ethics"
"123","Q81","Confidence","Charitable or humanitarian organizations",123,"Core Variables - Social Capital, Trust and Organizational Membership","E069_40","Confidence: Charitable or humanitarian organizations",1,"Ethics"
"124","Q82","Confidence","Major regional organization (combined from country-specific)",124,"Core Variables - Social Capital, Trust and Organizational Membership","E069_18A","Confidence: Major regional organization (combined from country-specific)",1,"Ethics"
"125","Q82_AFRICANUNION","Confidence","The African Union (AU)",125,"Core Variables - Social Capital, Trust and Organizational Membership","E069_67","Confidence: The African Union (AU)",1,"Ethics"
"126","Q82_APEC","Confidence","The Asia-Pacific Economic Cooperation (APEC)",126,"Core Variables - Social Capital, Trust and Organizational Membership","E069_29","Confidence: The APEC",1,"Ethics"
"127","Q82_ARABLEAGUE","Confidence","The Arab League",127,"Core Variables - Social Capital, Trust and Organizational Membership","E069_21","Confidence: The Arab League",1,"Ethics"
"128","Q82_ASEAN","Confidence","The Association of South East Asian Nations (ASEAN)",128,"Core Variables - Social Capital, Trust and Organizational Membership","E069_22","Confidence: The Association of South East Asian Nations -ASEAN",1,"Ethics"
"129","Q82_CIS","Confidence","Commonwealth of Independent States (CIS)",129,"Core Variables - Social Capital, Trust and Organizational Membership","E069_43","Confidence: CIS",1,"Ethics"
"130","Q82_CUSMA","Confidence","The Canada-United States-Mexico Agreement (CUSMA)",130,"Core Variables - Social Capital, Trust and Organizational Membership",NA,NA,1,"Ethics"
"131","Q82_ECO","Confidence","Economic Cooperation Organization",131,"Core Variables - Social Capital, Trust and Organizational Membership",NA,NA,1,"Ethics"
"132","Q82_EU","Confidence","The European Union (EU)",132,"Core Variables - Social Capital, Trust and Organizational Membership","E069_18","Confidence: The European Union",1,"Ethics"
"133","Q82_GULFCOOP","Confidence","Cooperation Council for the Arab states of Gulf (GCC)",133,"Core Variables - Social Capital, Trust and Organizational Membership","E069_59","Confidence: Cooperation Council for the Arab states of Gulf (GCC)",1,"Ethics"
"134","Q82_ISLCOOP","Confidence","The Organization of the Islamic Cooperation",134,"Core Variables - Social Capital, Trust and Organizational Membership","E069_55","Confidence: The Organization of the Islamic World",1,"Ethics"
"135","Q82_MERCOSUR","Confidence","The Mercosur",135,"Core Variables - Social Capital, Trust and Organizational Membership","E069_26","Confidence: The Mercosur",1,"Ethics"
"136","Q82_NAFTA","Confidence","The North American Free Trade Agreement (NAFTA)",136,"Core Variables - Social Capital, Trust and Organizational Membership","E069_24","Confidence: The NAFTA",1,"Ethics"
"137","Q82_OAS","Confidence","The Organization of American States (OAS)",137,"Core Variables - Social Capital, Trust and Organizational Membership","E069_56","Confidence: The Organization of American States (OAE)",1,"Ethics"
"138","Q82_SAARC","Confidence","The South Asian Association for Regional Cooperation (SAARC)",138,"Core Variables - Social Capital, Trust and Organizational Membership","E069_27","Confidence: The SAARC",1,"Ethics"
"139","Q82_SCO","Confidence","The Shanghai Cooperation Organization (SCO)",139,"Core Variables - Social Capital, Trust and Organizational Membership",NA,NA,1,"Ethics"
"140","Q82_TLC","Confidence","The Free Commerce Treaty (Tratado de libre comercio)",140,"Core Variables - Social Capital, Trust and Organizational Membership","E069_30","Confidence: The Free Commerce Treaty (Tratado de libre comercio)",1,"Ethics"
"141","Q82_UNDP","Confidence","United Nations Development Programme (UNDP)",141,"Core Variables - Social Capital, Trust and Organizational Membership","E069_66","Confidence: UNDP United Nations Development Programme",1,"Ethics"
"142","Q83","Confidence","The United Nations (UN)",142,"Core Variables - Social Capital, Trust and Organizational Membership","E069_20","Confidence: The United Nations",1,"Ethics"
"143","Q84","Confidence","International Monetary Found (IMF)",143,"Core Variables - Social Capital, Trust and Organizational Membership","E069_45","Confidence: International Monetary Found (IMF)",1,"Ethics"
"144","Q85","Confidence","International Criminal Court (ICC)",144,"Core Variables - Social Capital, Trust and Organizational Membership","E069_65","Confidence: International Criminal Court (ICC)",1,"Ethics"
"145","Q86","Confidence","North Atlantic Treaty Organization (NATO)",145,"Core Variables - Social Capital, Trust and Organizational Membership","E069_19","Confidence: NATO",1,"Ethics"
"146","Q87","Confidence","The World Bank (WB)",146,"Core Variables - Social Capital, Trust and Organizational Membership","E069_63","Confidence: The World Bank",1,"Ethics"
"147","Q88","Confidence","The World Health Organization (WHO)",147,"Core Variables - Social Capital, Trust and Organizational Membership","E069_62","Confidence: The World Health Organization (WHO)",1,"Ethics"
"148","Q89","Confidence","The World Trade Organization (WTO)",148,"Core Variables - Social Capital, Trust and Organizational Membership","E069_61","Confidence: The World Trade Organization (WTO)",1,"Ethics"
"149","Q90","International organizations","being effective vs being democratic",149,"Core Variables - Social Capital, Trust and Organizational Membership","E278","Should international organizations prioritize, being effective or being democratic",1,"Ethics"
"150","Q91","Countries with the permanent seats on the UN Security Council",NA,150,"Core Variables - Social Capital, Trust and Organizational Membership","E279","Five countries have permanent seats on the Security Council of the United Nations. Which ones of the following is not a member?",1,"Ethics"
"151","Q92","Where are the headquarters of the International Monetary Fund (IMF) located?",NA,151,"Core Variables - Social Capital, Trust and Organizational Membership","E280","Where are the headquarters of the International Monetary Fund (IMF) located?",1,"Ethics"
"152","Q93","Which of the following problems does the organization Amnesty International deal",NA,152,"Core Variables - Social Capital, Trust and Organizational Membership","E281","Which of the following problems does the organization Amnesty International deal with?",1,"Ethics"
"153","Q94","Active/Inactive membership","church or religious org",153,"Core Variables - Social Capital, Trust and Organizational Membership","A098","Active/Inactive membership of church or religious organization",1,"Ethics"
"154","Q94R","Membership","church or religious organization",154,"Core Variables - Social Capital, Trust and Organizational Membership","A065","Member: Belong to religious organization",1,"Ethics"
"155","Q95","Active/Inactive membership","sport or recreational org",155,"Core Variables - Social Capital, Trust and Organizational Membership","A099","Active/Inactive membership of sport or recreation",1,"Ethics"
"156","Q95R","Membership","sport or recreational org",156,"Core Variables - Social Capital, Trust and Organizational Membership","A074","Member: Belong to sports or recreation",1,"Ethics"
"157","Q96","Active/Inactive membership","art, music, educational org",157,"Core Variables - Social Capital, Trust and Organizational Membership","A100","Active/Inactive membership of art, music, educational",1,"Ethics"
"158","Q96R","Membership","art, music, educational org",158,"Core Variables - Social Capital, Trust and Organizational Membership","A066","Member: Belong to education, arts, music or cultural activities",1,"Ethics"
"159","Q97","Active/Inactive membership","labor union",159,"Core Variables - Social Capital, Trust and Organizational Membership","A101","Active/Inactive membership of labour unions",1,"Ethics"
"160","Q97R","Membership","labor union",160,"Core Variables - Social Capital, Trust and Organizational Membership","A067","Member: Belong to labour unions",1,"Ethics"
"161","Q98","Active/Inactive membership","political party",161,"Core Variables - Social Capital, Trust and Organizational Membership","A102","Active/Inactive membership of political party",1,"Ethics"
"162","Q98R","Membership","political party",162,"Core Variables - Social Capital, Trust and Organizational Membership","A068","Member: Belong to political parties",1,"Ethics"
"163","Q99","Active/Inactive membership","environmental organization",163,"Core Variables - Social Capital, Trust and Organizational Membership","A103","Active/Inactive membership of environmental organization",1,"Ethics"
"164","Q99R","Membership","environmental organization",164,"Core Variables - Social Capital, Trust and Organizational Membership","A071","Member: Belong to conservation, the environment, ecology, animal rights",1,"Ethics"
"165","Q100","Active/Inactive membership","professional organization",165,"Core Variables - Social Capital, Trust and Organizational Membership","A104","Active/Inactive membership of professional organization",1,"Ethics"
"166","Q100R","Membership","professional organization",166,"Core Variables - Social Capital, Trust and Organizational Membership","A072","Member: Belong to professional associations",1,"Ethics"
"167","Q101","Active/Inactive membership","charitable/humanitarian organization",167,"Core Variables - Social Capital, Trust and Organizational Membership","A105","Active/Inactive membership of charitable/humanitarian organization",1,"Ethics"
"168","Q101R","Membership","charitable/humanitarian organization",168,"Core Variables - Social Capital, Trust and Organizational Membership","A080_01","Member: Humanitarian or charitable organization",1,"Ethics"
"169","Q102","Active/Inactive membership","consumer organization",169,"Core Variables - Social Capital, Trust and Organizational Membership","A106B","Active/Inactive membership: Consumer organization",1,"Ethics"
"170","Q102R","Membership","consumer organization",170,"Core Variables - Social Capital, Trust and Organizational Membership","A078","Belong: Consumer groups",1,"Ethics"
"171","Q103","Active/Inactive membership","self-help group, mutual aid group",171,"Core Variables - Social Capital, Trust and Organizational Membership","A106C","Active/Inactive membership: Self-help group, mutual aid group",1,"Ethics"
"172","Q103R","Membership","self-help group, mutual aid group",172,"Core Variables - Social Capital, Trust and Organizational Membership","A080_02","Member:  Self-help group, mutual aid group",1,"Ethics"
"173","Q104","Active/Inactive membership","womenâ€™s group",173,"Core Variables - Social Capital, Trust and Organizational Membership","A106D","Active/Inactive membership: Women’s group",1,"Ethics"
"174","Q104R","Active/Inactive membership","womenâ€™s group (R)",174,"Core Variables - Social Capital, Trust and Organizational Membership","A075","Member: Belong to women´s group",1,"Ethics"
"175","Q105","Active/Inactive membership","other organization",175,"Core Variables - Social Capital, Trust and Organizational Membership","A106","Active/Inactive membership of any other organization",1,"Ethics"
"176","Q105R","Membership","other organization",176,"Core Variables - Social Capital, Trust and Organizational Membership","A079","Member: Belong to other groups",1,"Ethics"
"177","Q106","Income equality vs larger income differences",NA,177,"Core Variables - Economic Values","E035","Income equality",1,"Economic"
"178","Q107","Private vs state ownership of business",NA,178,"Core Variables - Economic Values","E036","Private vs state ownership of business",1,"Economic"
"179","Q108","Government's vs individual's responsibility",NA,179,"Core Variables - Economic Values","E037","Government responsibility",1,"Economic"
"180","Q109","Competition good or harmful",NA,180,"Core Variables - Economic Values","E039","Competition good or harmful",1,"Economic"
"181","Q110","Success","hard work vs luck",181,"Core Variables - Economic Values","E040","Hard work brings success",1,"Economic"
"182","Q111","Protecting environment vs. Economic growth",NA,182,"Core Variables - Economic Values","B008","Protecting environment vs. Economic growth",1,"Economic"
"183","Q112","Perceptions of corruption in the country",NA,183,"Core Variables - Perceptions of Corruption","E268","Scale corruption in [my country] - pay a bribe, give a gift, do a favor to other to get things",1,"Legal"
"184","Q113","Involved in corruption","State authorities",184,"Core Variables - Perceptions of Corruption","E269","Groups of people involved in corruption: State authorities",1,"Legal"
"185","Q114","Involved in corruption","Business executives",185,"Core Variables - Perceptions of Corruption","E270","Groups of people involved in corruption: Business executives",1,"Legal"
"186","Q115","Involved in corruption","Local authorities",186,"Core Variables - Perceptions of Corruption","E271","Groups of people involved in corruption: Local authorities",1,"Legal"
"187","Q116","Involved in corruption","Civil service providers",187,"Core Variables - Perceptions of Corruption","E272","Groups of people involved in corruption: Civil service providers (police, judiciary, civil servants, doctors, teachers)",1,"Legal"
"188","Q117","Involved in corruption","Journalists and media",188,"Core Variables - Perceptions of Corruption","E273","Groups of people involved in corruption: Journalists and media",1,"Legal"
"189","Q118","Frequency ordinary people pay a bribe, give a gift or do a favor to local offici",NA,189,"Core Variables - Perceptions of Corruption","E274","Frequency ordinary people pay a bribe, give a gift or do a favor to local officials/service providers in order to get services",1,"Legal"
"190","Q119","Degree of agreement","On the whole, women are less corrupt than men",190,"Core Variables - Perceptions of Corruption","E275","Degree of agreement: On the whole, women are less corrupt than men",1,"Legal"
